zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading
package-0,0.000128732,0.0,0.0,0.0,102981.397133,0.0,102981.397133
dram,0.000278597,0.0,0.0,0.0,29499.587322,0.0,29499.587322
core,0.000321272,0.002074999999422289,27302.631571345904,0.0,6705.126572,0.0,6705.128647
uncore,0.000350051,0.0,0.0,0.0,35.049226,0.0,35.049226
package-0,1.001300443,1.6950030000007246,1.6932022945992389,1.6932024231459148,102981.397133,0.0,102983.092136
dram,1.001598751,0.44860700000208453,0.448130417336421,0.44813045135815355,29499.587322,0.0,29500.035929
core,1.001840184,0.1743770000002769,0.17419174864332046,0.1721189661105082,6705.126572,0.002074999999422289,6705.300949
uncore,1.002003423,0.004273000000004856,0.0042684605306466585,0.004268460854705051,35.049226,0.0,35.053499
package-0,2.003927491,3.2731849999981932,1.6335682864653411,1.5740279905976227,102981.397133,1.6950030000007246,102984.670318
dram,2.004207414,0.8901960000002873,0.4442755158475836,0.4404266721698128,29499.587322,0.44860700000208453,29500.477518
core,2.004469945,0.23345900000003894,0.11651379881986085,0.058926487401493206,6705.126572,0.1743770000002769,6705.360031
uncore,2.004732915,0.006714000000002329,0.0033507966935379945,0.0024345749254845016,35.049226,0.004273000000004856,35.05594
package-0,3.006606181,5.3914049999875715,1.7932736836482048,2.112395955348805,102981.397133,3.2731849999981932,102986.788538
dram,3.006672875,1.3326379999998608,0.4432582332870255,0.4412255059815418,29499.587322,0.8901960000002873,29500.91996
core,3.006709707,0.8373389999997016,0.27851329903712124,0.6022196322958524,6705.126572,0.23345900000003894,6705.963911
uncore,3.006742289,0.006714000000002329,0.002233191443055378,0.0,35.049226,0.006714000000002329,35.05594
package-0,4.007768238,6.959332999991602,1.7365637099270028,1.5662499339210771,102981.397133,5.3914049999875715,102988.356466
dram,4.008066949,1.7731280000007246,0.4424489728915717,0.44001856806720374,29499.587322,1.3326379999998608,29501.36045
core,4.008335615,0.8920879999996032,0.22260289123433818,0.05469040519199252,6705.126572,0.8373389999997016,6706.01866
uncore,4.008592025,0.006714000000002329,0.0016753457189745068,0.0,35.049226,0.006714000000002329,35.05594
package-0,5.01051859,8.521767999991425,1.7008542329046434,1.5581407174383415,102981.397133,6.959332999991602,102989.918901
dram,5.010795129,2.2145330000021204,0.44199722721440143,0.4401918181448341,29499.587322,1.7731280000007246,29501.801855
core,5.011631997,0.9390849999999773,0.18743137542688626,0.04686783085250966,6705.126572,0.8920879999996032,6706.065657
uncore,5.011886269,0.006714000000002329,0.0013400429722725646,0.0,35.049226,0.006714000000002329,35.05594
package-0,6.013889519,10.08047999998962,1.67626764187075,1.5534941332244856,102981.397133,8.521767999991425,102991.477613
dram,6.014164922,2.656060000001162,0.44167216569783946,0.44004896617175754,29499.587322,2.2145330000021204,29502.243382
core,6.014435148,0.982785999999578,0.163425984743244,0.04355470870532955,6705.126572,0.9390849999999773,6706.109358
uncore,6.014697917,0.006714000000002329,0.001116460818089586,0.0,35.049226,0.006714000000002329,35.05594
package-0,7.016640646,11.838531999994302,1.6872479499443829,1.7530933911257232,102981.397133,10.08047999998962,102993.235665
dram,7.01679782,3.097771000000648,0.4414996529257825,0.44046514829172956,29499.587322,2.656060000001162,29502.685093
core,7.016947875,1.2257659999995667,0.1746982793653631,0.24229467170173233,6705.126572,0.982785999999578,6706.352338
uncore,7.017098614,0.006714000000002329,0.0009568908320673517,0.0,35.049226,0.006714000000002329,35.05594
package-0,8.018114942,13.39181099999405,1.670245739378248,1.551116267729838,102981.397133,11.838531999994302,102994.788944
dram,8.018395804,3.537771999999677,0.44123596202886595,0.4393883577361189,29499.587322,3.097771000000648,29503.125094
core,8.018659066,1.265926999999465,0.1578882182636787,0.04010508120443928,6705.126572,1.2257659999995667,6706.392499
