zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading
package-0,0.000022394,0.0,0.0,0.0,33902.944687,0.0,33902.944687
core,0.00016406,0.0,0.0,0.0,26566.32213,0.0,26566.32213
uncore,0.000213909,0.0,0.0,0.0,1572.511085,0.0,1572.511085
package-0,1.000756421,21.618937999999616,21.60377381427258,21.603775562950965,33902.944687,0.0,33924.563625
core,1.000840521,17.0082599999987,16.996329885136735,16.996331260873905,26566.32213,0.0,26583.33039
uncore,1.000881797,0.7580169999998816,0.7574853036430925,0.7574853649563699,1572.511085,0.0,1573.269102
package-0,2.001432318,42.57836499999394,21.274571932427513,20.94536007522244,33902.944687,21.618937999999616,33945.523052
core,2.001523614,33.38296300000002,16.68002629178381,16.3637131139103,26566.32213,17.0082599999987,26599.705093
uncore,2.001577098,1.5022409999999127,0.7506050130000185,0.7437245138727896,1572.511085,0.7580169999998816,1574.013326
package-0,3.002152972,62.06116800000018,20.67274989201962,19.469124810617547,33902.944687,42.57836499999394,33965.005855
core,3.002255201,48.328449000000546,16.098342506964002,14.93499330097698,26566.32213,33.38296300000002,26614.650579
uncore,3.00231242,2.229757999999947,0.7427386712046518,0.7270062359529158,1572.511085,1.5022409999999127,1574.740843
package-0,4.002958668,83.2205959999992,20.790039132199144,21.141857974361997,33902.944687,62.06116800000018,33986.165283
core,4.003025076,64.92077599999902,16.218406721489085,16.578549330263364,26566.32213,48.328449000000546,26631.242906
uncore,4.003071667,2.961027999999942,0.739719383787359,0.7306627797742125,1572.511085,2.229757999999947,1575.472113
package-0,5.003626687,104.11380199999985,20.807943176027212,20.879564607898416,33902.944687,83.2205959999992,34007.058489
core,5.003833367,81.52828500000032,16.294054092068993,16.59666578416787,26566.32213,64.92077599999902,26647.850415
uncore,5.003892452,3.4260620000000017,0.6847248111594876,0.46473037445140675,1572.511085,2.961027999999942,1575.937147
package-0,6.004475731,124.63811599999462,20.75770335532138,20.506543029805147,33902.944687,104.11380199999985,34027.582803
core,6.004546739,97.47310899999866,16.233540321990795,15.931018179643855,26566.32213,81.52828500000032,26663.795239
uncore,6.004591168,4.155668999999989,0.6921008365122314,0.7289752700309784,1572.511085,3.4260620000000017,1576.666754
package-0,7.005159408,146.25366699999722,20.87824471698814,21.601557985973557,33902.944687,124.63811599999462,34049.198354
core,7.005239487,114.51720999999816,16.347749658042613,17.03306735369526,26566.32213,97.47310899999866,26680.83934
uncore,7.005285185,4.898183999999901,0.6992336419218514,0.7420343264879683,1572.511085,4.155668999999989,1577.409269
package-0,8.005852085,167.62524299999495,20.937971955997064,21.356062016881936,33902.944687,146.25366699999722,34070.56993
core,8.005937118,131.28758300000118,16.39905590487194,16.75819910681107,26566.32213,114.51720999999816,26697.609713
uncore,8.005980881,5.643948999999793,0.704982398641933,0.7452236367603093,1572.511085,4.898183999999901,1578.155034
package-0,9.006703865,188.71423999999388,20.952871394979883,21.072057531174597,33902.944687,167.62524299999495,34091.658927
core,9.006790432,147.78958299999795,16.409022054280392,16.488744978217447,26566.32213,131.28758300000118,26714.111713
uncore,9.006836753,6.395878999999923,0.7101320501561263,0.75132602178376,1572.511085,5.643948999999793,1578.906964
package-0,10.007413748,209.20854099999997,20.90546696343848,20.478836140669593,33902.944687,188.71423999999388,34112.153228
core,10.007490004,163.72275000000081,16.36023331039967,15.921143941180814,26566.32213,147.78958299999795,26730.04488
uncore,10.007532461,7.132534999999962,0.7127289072202263,0.7361001244217803,1572.511085,6.395878999999923,1579.64362
package-0,11.008108026,230.24447099999816,20.916016276258368,21.02151470650335,33902.944687,209.20854099999997,34133.189158
core,11.008206956,180.20314399999916,16.37012987355055,16.46910047903585,26566.32213,163.72275000000081,26746.525274
uncore,11.010050761,7.86635299999989,0.7146002971024346,0.7333151364782398,1572.511085,7.132534999999962,1580.377438
package-0,12.010673992,251.7630879999997,20.96178359292261,21.464321110891284,33902.944687,230.24447099999816,34154.707775
core,12.010751663,197.17092499999853,16.41644251148663,16.924967804540625,26566.32213,180.20314399999916,26763.493055
uncore,12.010790429,8.574690999999802,0.713928394134478,0.7065507177828176,1572.511085,7.86635299999989,1581.085776
package-0,13.011400784,271.4485629999981,20.86249461052301,19.670862008383928,33902.944687,251.7630879999997,34174.39325
core,13.011510757,212.57910999999876,16.338014420377622,15.396747141467513,26566.32213,197.17092499999853,26778.90124
uncore,13.011593332,9.024816999999985,0.6936127933138384,0.44979186087153716,1572.511085,8.574690999999802,1581.535902
package-0,14.012410909,292.883597,20.90186631549142,21.413632637376033,33902.944687,271.4485629999981,34195.828284
core,14.012508524,229.46574899999905,16.37600213432946,16.869778887496093,26566.32213,212.57910999999876,26795.787879
uncore,14.012561921,9.736922999999933,0.6948831035772628,0.7113950126166744,1572.511085,9.024816999999985,1582.248008
package-0,15.013141338,312.58948699999746,20.821134896012467,19.69076863175285,33902.944687,292.883597,34215.534174
core,15.013270094,244.60321000000113,16.292667038439877,15.125845228165868,26566.32213,229.46574899999905,26810.92534
uncore,15.013342671,10.482016999999814,0.6981920346518046,0.7445222500940992,1572.511085,9.736922999999933,1582.993102
package-0,16.014040518,334.0546389999945,20.860194943116046,21.446085914912615,33902.944687,312.58948699999746,34236.999326
core,16.01416686,261.49941599999875,16.329450809605618,16.881198209640495,26566.32213,244.60321000000113,26827.821546
uncore,16.016025026,11.198776999999836,0.6993127592653628,0.7161233491556623,1572.511085,10.482016999999814,1583.709862
package-0,17.017080697,355.52693299999373,20.89242141909322,21.406924274735356,33902.944687,334.0546389999945,34258.47162
core,17.017159272,278.3839650000009,16.359140681750315,16.833146093105725,26566.32213,261.49941599999875,26844.706095
uncore,17.017212784,11.939431000000013,0.7016166731767415,0.7383991711264847,1572.511085,11.198776999999836,1584.450516
package-0,18.017724261,377.08998099999735,20.928899483487555,21.549250553605408,33902.944687,355.52693299999373,34280.034668
core,18.017805865,295.36402799999996,16.393021200555435,16.969198046719697,26566.32213,278.3839650000009,26861.686158
uncore,18.017852317,12.678146999999854,0.7036507930977834,0.7382433212573222,1572.511085,11.939431000000013,1585.189232
package-0,19.018477189,398.8359270000001,20.971045912472277,21.729864748406083,33902.944687,377.08998099999735,34301.780614
core,19.018539217,312.55315699999846,16.434243160684776,17.17641754066828,26566.32213,295.36402799999996,26878.875287
uncore,19.018576534,13.404228999999987,0.7048028593981004,0.7255450582031747,1572.511085,12.678146999999854,1585.915314
package-0,20.019104761,420.2858519999936,20.99430342928881,21.436344347013986,33902.944687,398.8359270000001,34323.230539
core,20.019177765,329.41372000000047,16.455018789095234,16.84988802304321,26566.32213,312.55315699999846,26895.73585
uncore,20.01921546,14.146408999999949,0.7066476341459753,0.741710101432561,1572.511085,13.404228999999987,1586.657494
package-0,21.019726166,441.2941339999961,20.994345117765295,20.99517916063051,33902.944687,420.2858519999936,34344.238821
core,21.019807176,345.8612179999982,16.454172430813877,16.437239715937885,26566.32213,329.41372000000047,26912.183348
uncore,21.02172274,14.878517999999985,0.7078379649000399,0.7316523845266824,1572.511085,14.146408999999949,1587.389603
